total,2020-09-21,765076
amazonas,2020-09-21,2732
antioquia,2020-09-21,103915
arauca,2020-09-21,1475
atlantico,2020-09-21,28976
barranquilla,2020-09-21,37600
bolivar,2020-09-21,5608
boyaca,2020-09-21,6086
caldas,2020-09-21,4752
caqueta,2020-09-21,7783
casanare,2020-09-21,1875
cauca,2020-09-21,8293
cesar,2020-09-21,17403
choco,2020-09-21,3947
cordoba,2020-09-21,22768
cundinamarca,2020-09-21,30883
guainía,2020-09-21,631
guaviare,2020-09-21,649
huila,2020-09-21,9545
la guajira,2020-09-21,7397
magdalena,2020-09-21,4904
meta,2020-09-21,14261
nariño,2020-09-21,17485
norte de santannder,2020-09-21,14535
putumayo,2020-09-21,3640
quindío,2020-09-21,2655
risaralda,2020-09-21,9596
san andrés y providencia,2020-09-21,938
santander,2020-09-21,27463
sucre,2020-09-21,13545
tolima,2020-09-21,10967
vaupés,2020-09-21,693
vichada,2020-09-21,435


total,2020-09-23,777537
amazonas,2020-09-23,2738
antioquia,2020-09-23,106111
arauca,2020-09-23,1482
atlantico,2020-09-23,29072
barranquilla,2020-09-23,37708
bolivar,2020-09-23,5634
boyaca,2020-09-23,6289
caldas,2020-09-23,4894
caqueta,2020-09-23,7793
casanare,2020-09-23,1950
cauca,2020-09-23,8549
cesar,2020-09-23,17551
choco,2020-09-23,3965
cordoba,2020-09-23,23250
cundinamarca,2020-09-23,31295
guainía,2020-09-23,651
guaviare,2020-09-23,662
huila,2020-09-23,9910
la guajira,2020-09-23,7529
magdalena,2020-09-23,4955
meta,2020-09-23,14634
nariño,2020-09-23,17634
norte de santannder,2020-09-23,14791
putumayo,2020-09-23,3668
quindío,2020-09-23,2844
risaralda,2020-09-23,9933
san andrés y providencia,2020-09-23,1014
santander,2020-09-23,28309
sucre,2020-09-23,13767
tolima,2020-09-23,11247
valle del cauca,2020-09-23,5000
vaupés,2020-09-23,712
vichada,2020-09-23,455


total,2020-09-24,784268
amazonas,2020-09-24,2739
antioquia,2020-09-24,107331
arauca,2020-09-24,1519
atlantico,2020-09-24,29119
barranquilla,2020-09-24,37743
bolivar,2020-09-24,5653
boyaca,2020-09-24,6410
caldas,2020-09-24,5117
caqueta,2020-09-24,7843
casanare,2020-09-24,1972
cauca,2020-09-24,8652
cesar,2020-09-24,17878
choco,2020-09-24,3967
cordoba,2020-09-24,23340
cundinamarca,2020-09-24,31575
guainía,2020-09-24,720
guaviare,2020-09-24,677
huila,2020-09-24,10082
la guajira,2020-09-24,7609
magdalena,2020-09-24,5007
meta,2020-09-24,14850
nariño,2020-09-24,17742
norte de santannder,2020-09-24,14932
putumayo,2020-09-24,3679
quindío,2020-09-24,2941
risaralda,2020-09-24,10239
san andrés y providencia,2020-09-24,1055
santander,2020-09-24,28751
sucre,2020-09-24,13785
tolima,2020-09-24,11422
valle del cauca,2020-09-24,56046
vaupés,2020-09-24,731
vichada,2020-09-24,463


total,2020-09-25,790823
amazonas,2020-09-25,2741
antioquia,2020-09-25,108353
arauca,2020-09-25,1613
atlantico,2020-09-25,29146
barranquilla,2020-09-25,37792
bolivar,2020-09-25,5681
boyaca,2020-09-25,6664
caldas,2020-09-25,5239
caqueta,2020-09-25,8036
casanare,2020-09-25,2012
cauca,2020-09-25,8790
cesar,2020-09-25,18129
choco,2020-09-25,3975
cordoba,2020-09-25,23366
cundinamarca,2020-09-25,32080
guainía,2020-09-25,736
guaviare,2020-09-25,688
huila,2020-09-25,10451
la guajira,2020-09-25,7689
magdalena,2020-09-25,5030
meta,2020-09-25,15111
nariño,2020-09-25,17825
norte de santannder,2020-09-25,15001
putumayo,2020-09-25,3695
quindío,2020-09-25,2988
risaralda,2020-09-25,10399
san andrés y providencia,2020-09-25,1079
santander,2020-09-25,29109
sucre,2020-09-25,13867
tolima,2020-09-25,11593
valle del cauca,2020-09-25,56669
vaupés,2020-09-25,733
vichada,2020-09-25,465


total,2020-09-26,798317
amazonas,2020-09-26,2741
antioquia,2020-09-26,109651
arauca,2020-09-26,1641
atlantico,2020-09-26,29203
barranquilla,2020-09-26,37871
bolivar,2020-09-26,5732
boyaca,2020-09-26,6816
caldas,2020-09-26,5393
caqueta,2020-09-26,8202
casanare,2020-09-26,2136
cauca,2020-09-26,8931
cesar,2020-09-26,18561
choco,2020-09-26,3980
cordoba,2020-09-26,23516
cundinamarca,2020-09-26,32337
guainía,2020-09-26,743
guaviare,2020-09-26,742
huila,2020-09-26,10763
la guajira,2020-09-26,7771
magdalena,2020-09-26,5116
meta,2020-09-26,15359
nariño,2020-09-26,17956
norte de santannder,2020-09-26,15145
putumayo,2020-09-26,3712
quindío,2020-09-26,3182
risaralda,2020-09-26,10674
san andrés y providencia,2020-09-26,1117
santander,2020-09-26,29468
sucre,2020-09-26,13907
tolima,2020-09-26,11756
valle del cauca,2020-09-26,57226
vaupés,2020-09-26,750
vichada,2020-09-26,469


total,2020-09-27,806038
amazonas,2020-09-27,2742
antioquia,2020-09-27,110870
arauca,2020-09-27,1665
atlantico,2020-09-27,29272
barranquilla,2020-09-27,37944
bolivar,2020-09-27,5750
boyaca,2020-09-27,6879
caldas,2020-09-27,5514
caqueta,2020-09-27,8370
casanare,2020-09-27,2168
cauca,2020-09-27,9098
cesar,2020-09-27,18885
choco,2020-09-27,3989
cordoba,2020-09-27,23631
